asv_id,total_reads
1SO10380,1.0
1SO10381,6.0
1SO10383,6.0
1SO10385,6.0
1SO10389,6.0
1SO1039,204.0
1SO10390,5.0
1SO10391,6.0
1SO10393,6.0
1SO10394,6.0
1SO10395,6.0
1SO10396,6.0
1SO10397,3.0
1SO10399,6.0
1SO104,2.0
1SO1040,937.0
1SO10403,6.0
1SO10404,6.0
1SO10405,5.0
1SO10406,6.0
1SO10409,1.0
1SO1041,110.0
1SO10410,6.0
1SO10414,6.0
1SO10417,6.0
1SO10427,6.0
1SO10428,6.0
1SO10429,6.0
1SO1043,526.0
1SO10432,6.0
1SO10434,6.0
1SO10436,6.0
1SO10437,6.0
1SO1044,935.0
1SO10440,6.0
1SO10442,6.0
1SO10443,6.0
1SO10447,6.0
1SO10448,1.0
1SO1045,1.0
1SO10450,6.0
1SO10451,1.0
1SO10452,6.0
1SO10455,6.0
1SO10456,6.0
1SO10457,6.0
1SO10459,6.0
1SO1046,927.0
1SO10461,6.0
1SO10463,6.0
1SO10464,6.0
1SO10467,6.0
1SO10468,6.0
1SO1047,927.0
1SO10471,6.0
1SO10473,6.0
1SO10476,6.0
1SO10477,6.0
1SO1048,926.0
1SO10480,5.0
1SO10483,3.0
1SO10484,2.0
1SO10486,1.0
1SO1049,926.0
1SO10490,6.0
1SO10493,6.0
1SO10497,6.0
1SO10499,6.0
1SO105,6.0
1SO1050,925.0
1SO10505,6.0
1SO10508,6.0
1SO10509,6.0
1SO1051,921.0
1SO10510,6.0
1SO10511,6.0
1SO10512,6.0
1SO10513,6.0
1SO10516,6.0
1SO10517,6.0
1SO10521,6.0
1SO10522,6.0
1SO10523,6.0
1SO10525,6.0
1SO10528,6.0
1SO1053,920.0
1SO10533,6.0
1SO10534,6.0
1SO10539,6.0
1SO1054,918.0
1SO10540,6.0
1SO10542,6.0
1SO10543,6.0
1SO10546,6.0
1SO10548,6.0
1SO1055,1.0
1SO10550,6.0
1SO10553,6.0
1SO10554,6.0
1SO10556,6.0
1SO10557,1.0
1SO10559,6.0
1SO10562,6.0
1SO10563,6.0
1SO10564,6.0
1SO10566,1.0
1SO10567,6.0
1SO10568,6.0
1SO10569,6.0
1SO1057,913.0
1SO10572,6.0
1SO10575,6.0
1SO10579,6.0
1SO10581,6.0
1SO10584,6.0
1SO10585,6.0
1SO10587,6.0
1SO10588,6.0
1SO10590,6.0
1SO10592,6.0
1SO10595,6.0
1SO10597,6.0
1SO10598,6.0
1SO106,1288.0
1SO10600,6.0
1SO10601,6.0
1SO10602,6.0
1SO10603,6.0
1SO10604,6.0
1SO10606,6.0
1SO10612,6.0
1SO10615,6.0
1SO10618,6.0
1SO10620,6.0
1SO10622,3.0
1SO10623,6.0
1SO10624,6.0
1SO10627,6.0
1SO10629,6.0
1SO1063,909.0
1SO10631,6.0
1SO10633,6.0
1SO10634,6.0
1SO10635,4.0
1SO10636,5.0
1SO10637,4.0
1SO10638,6.0
1SO1064,909.0
1SO10649,6.0
1SO10650,6.0
1SO10655,6.0
1SO10658,6.0
1SO10663,4.0
1SO10668,6.0
1SO10670,6.0
1SO10671,6.0
1SO10672,6.0
1SO10673,6.0
